company,job_title,location,company_rating,job_age,job_link,run_date,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Lina Stores,Capo Pasticcere,Napoli,4.1,4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e104cb34&cb=1676371180204&jobListingId=1008463851058&cpc=77D8CEE05F182B4C&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-7e1e13143815ea8a--6NYlbfkN0DgDBzYgyTXPPa-zzAyV64JGJXXBlKCCozuZryCbtxWLN67JCK_x5dIm1_NRSs4n2EXO-iBCrL5CR0zT61IHucOf1BazLwxRlvnkXBQlexFrmApi7Yn6Lt0VLeIdiARWonebRP17Qr20lEq_vNuUYInIPs0ZZjVKD9DiSCZNf8mIbShF63w2s-rMGCF6BGOBEvUvipcvTPXQFk0H436hvy3KoJzJ3ltn1mB2sSJ5P6-Bj6O2qfuIOsymdtmuy9Xm7yCtuO4vYBqd3GLzhVQMTAv0RAHO87eaqB0dVhiUxbPO8s7E9jooMXXtEcYG_a5kYNGBCGXk6THttmGodNGgluP3nbXKFuobSriokQEh8_51VhOJoif1UqxcmzdtTTAgfIsSuXmYzgr_4iheVAUbPNJAhIYlAiDleCafnu3j_WpjeuUx0gr2WymEoEivvRjOpa7z0Uc6foXsCH7BKj9OvU86s7LhNRAwWF4jropL5QMD5JfzR4aL9dztGcaYxReeaUypOH9Gs5PBqASPszd9CTOr43e93cCDcffhEdEh8l1mraWoVdCxmIlIJ_L_F_LCDmNQtdwV5aHJ2qcyQDYVanFhKcdHROmlqHV4vciPlV7RMa2Dxc0iTkkMZ6gXMnpU8k19oaU7dWtGcc3GnC78xGT,2023-02-14,,,,,,,,,,,,,2023-02-16
FACILE RISTRUTTURARE S.p.a.,Ingegnere,Napoli,2.3,17 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_00c3b785&cb=1676371180204&jobListingId=1008433117845&cpc=FC4EF002566A9691&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-e2ef4f3b8e502b26--6NYlbfkN0D4PQrJV_PNof0-lTl7GIcMWDlUSPrLpH4uPE_IF_rtuw9aPAClngahZdIIQMhdrEsK_MP6e2YynZ719mB8-IWCUBe34P0ProYUh-fJPlSuW2dJTWlEo371P89pSU_fkjjOHKZwLFc0QBZJQPc4aEv6eVCV4I_8rprrmXIBLZWlqIy-oWSVNTDYPXjWDr27csNe-hBRrijxoKdcwpDWxOyJBRmjxRpEYr9YBlo6Ty57IFXDZZGOo0_5Jpps5y20s_dDn5zTpY-c8ziYbtTo14wZJglxb8nAlHoYyxfRHyW9MGxOm8ZdpgFu9mUJoeVBgcE6Wpkb2M_iSr62GkES0lVjqOr9-bbXcPSIYBe2knI1M7wVJEjZT6zzDHjXe5WDjoA2B494Ccepp5i6xWaRsibbfFtedYzj0sbB4RdRM1j9JEFX_4h7-ueu8rxsIY5f33nzXl0MBS5liOYPDwt96mcfvzq53tJ82WDFQS3nw9dTQohtsspVjmL9lHBVe5a41mK1RcI4XQDFCzbORbHMvlza8UYfU-_7TU03c0uR8gM4WLqY3YSs2tH5L_kl5EH8CintVxdPAi3kxOuaMaDAININSt6I3XTjbXeD6qV0nixQHw%3D%3D,2023-02-14,,,,,,,,,,,,,2023-02-16
Contrader,Sviluppatore Java,Italia,4.7,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&cs=1_1c592097&cb=1676371180204&jobListingId=1008278751833&cpc=998AB1121B01004C&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-10c5a3c2a8650811--6NYlbfkN0Cy00j__gQrFinrTrsDapFDC4-gmcGoOTHxmFv_WCnGchzS1taFEGZNlUNp0kgtIzEMu03vyyRMGiku9Nv8FlO-pW_3CdK5VWNUDu914-Ctz7h9fjbkaKduH5NaF1L6FNtTD5L7WNbcp2O7Pjq0p9g3v9SB4rrPIxxQ2NXj2NVqJQmCoOVk2SCh_8eU1iVS8h1mhtcgVMEPIKF_KDB2LhfnhRLasqzAyUDdvm8KX8kZxX7ZNx4etIdWO1fAaI3_wMG21FkD-aGh112q6BC1vwNZiJ5ZneO0FME6NWbckBDRJIrYny5jaLNcH_qn07zMAjchKqB_4-N-sfhyF_RbL7yeAhjxu1-b09Cad2aizYkr3OiN8-fzrLWvW6U_N4g5Cx4DGn4AG3nJ285KodylD8k_HJSRfwW4_eKoGzXQOmsQCzYywUb13h9tM79S_bBsDdvLRMxiNoTrhop8fsx7M4P1J_OTConag8jvdvjOa4rzT4Ja9sl4NMOZIleCDhtqBtZEV2GY_zQhSQ%3D%3D,2023-02-14,,,,,,,,,,,,,2023-02-16
LAGARDERE TRAVEL RETAIL ITALIA,Addetto Alle Vendite,Napoli,2.9,11 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6984fd07&cb=1676371180204&jobListingId=1008446768086&cpc=8507CEB59E1C6AFB&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-dc02799bc33274b7--6NYlbfkN0CX_LllCW0038eG5KcbQa1ryztUI5cfWNl3zQuoXSGfOYIi7XPpHnjOdHY5zUHTy5k-bTmVHtyIeiaoT6rl8pquKseqqJe_JO4unj2_ELbE5DMIM8gC1HdNzbkR1pf-SjQIN6kce-ItRyIl0ryBNdXwa-Mi2ok4n2R6BiMhB6nYlIlNgW1TuMNAb5d_d2GOtvAKsRFiwwVm4F0sK4oU10tycoonUee6YSLJN1YCU1HIutdqHZgoD4puhaw0cLVEpWP3ogt7KoFQaPYaApIGTwPwioslZEEXNwc4hzKgYuL0inLt6IUwESao6erzr3iVX96nhrjS1kFUBLwdLOHbBTHbLqMue-vFhVFxjm7IL_EkPi976aepehm4RTZZWr_8oopYQQtjFvpU06CPt5aHRhjr2oZcYYpk6LuS4wxn7m9LYdw16Vm2chKkphCmXMxkK_DKxlvzuy21dPxuDxB43hIgSpfDSNSxSFG4bLVt-ucKIQblJyDii2rvOHeglcGbF0l4ToajzjnNOPk0po_IzecCw24wevz1SQaXrmy-dc1ej5XX1IW2MGB-Q-94hEdbbfDq1HFv0jwW1ivH_F2x8n41S87vF7cUU5ij6zHlSS_JEXNIvcpmubv-Zhb--R_Ezb3cMh4Qi3RI9g%3D%3D,2023-02-14,,,,,,,,,,,,,2023-02-16
Calzedonia Holding Spa,Personale di Supporto Alle Vendite,Napoli,3.1,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_79df7ac7&cb=1676371180205&jobListingId=1007807309821&cpc=4599430C66E07990&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-e7c9fa03b66e7219--6NYlbfkN0Ac3PQLf4kItVDhYN2zbvuJ7nFyTq1gElAGQ3upSQdcjrCR27fqEoep-82PBrEQSd_kxNxGovBpZXvGmGTdSkTvRIgFE-VbkLVBR4xnyJMe2Q2TmE61eBhiooYAIIVpGh6sVknSYM2KPpB45KYqfULRe-TK8DGOloR-p7VeqybqgYFFZATD_CBW3Wp6x5X-hc3e2d5wkCQHOtzyTGmmpoOj69CgZdchxM-UkcMo4tmlWnmAoMU6XW3xRo3GzXTVPH3i5IE0F0DiX7qR2fOvdvRNSV_MeaYd8fqwXWVP3XdVm_-r0OcUqIBQDj95--zEMFB7Zfq9ORUEDok96KoDbmxGkwgDSMb4n63qPh6ZNSTi38wqMPiAVaDr-JO4rXhwj54nRcKM8L80ctmu3EuKNl2SKwIa7wPvlvPWOT5NRFQhKpo1CGXHl_MiWzhNZkI5HTQJCtFEF8MGzW65CXxefob_0jmlIgJg-mvXsJ0vqa6uuRSSCRoqJZO8vpVXVtGE-DUeGxpzq4QZZtpzaMyQu_VjObceiGvlWWCxTmzwEZsN6cJqCYAShsJHFgbgjpctswItlhbQMwamCEV1xQWIOOe2awrck52G5crmsgmKoyJN6N8zb0vKgxX_Md35INN-SP1vtAgy3seDl_LYNUwclKf4Bj1h3e7iiH0LDV4uf52sc9pF_joja0mA,2023-02-14,,,,,,,,,,,,,2023-02-16
STMicroelectronics,Digital Design Engineer,Napoli,3.9,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&cs=1_ecd2addc&cb=1676371180204&jobListingId=1008350934663&cpc=18E4F2D8CCA3E56E&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-d2ee06761eecb21c--6NYlbfkN0DAv-knXWXtWP4BSZ5vXP1CKdoDUf5S6mXEs2UdONmIWlVd8a84ouEntKZlEKwwLXOkmxXIDVr5Zlmq2abO39Jg6sM7RmxahK6sCKwMB9jzyy3hTH6_t7clHKbENZwMUarIVp5RF-xhFJT4cDScTlSxzy7UwgqAXWidN_apFMz5pmdIlHFtskfbOQhUBSp0wFO4e0v64VrBtlYCSbtTt1hMQ4Zkqqu2MkIm1QvqQaxd8tv8K1AB64UnC7I_NLHxxF2rNljyHDNAUeHQJtpUz5WiZoD9bEWyvOZFQcxSgVC820wstfhKYLl2H9rFMdVA_s9MzknsnsNjruF_wyaUOXHUjjziDvMvMkJKH9B0kKw158W1f437S32-xmb0VVjDQr4FvFjTML5HSHdMxfSuB7b9LQwkoCMJ6N9lMPvOhAWn9UHWElynHUOsS1PQ_k2hb2bLJCfpIcPhEPlMPqPk_dEnr_ORWWe0bdhqJQ2ONb6-3TVWqT95jqYbSbRpQeAemBx6Q0-FylPWcYUibs9CV0O7rYnR9KRgGoSf0wjxtpMCZC-dWQHxWARCAlhWkflX_8lfa1amEeO8B2IUgPf4PWDAs7tcSOPGSMXdFySM26aMEFrWZ7ZlXKPE_a6h_X9dNf0%3D,2023-02-14,,,,,,,,,,,,,2023-02-16
TECH-TRON SRL,Rappresentante Commerciale,Campania,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_07d345e3&cb=1676371180205&jobListingId=1007908830771&cpc=F89DB714968E32AB&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-7c95fcdafda41659--6NYlbfkN0Bf7zH--WCva9hch64-vSufFGLij5owhii5BKgj9p7pAwk_eXebG4-ARKBU6wgtV7cAkaD3siqHnlk5kE6xXfpx8uW222y_yrqaPVYLFSkOxIgn_qwO0yG8xmhKkk_cxhzg85B35ai5UpkA4wbsGan6hSSLCTVVq1bdSpfPGCKQZXTdJq_GTcKF5qZHarPpkDLKI68zrtiahhka3j2UiwpuTDrJUPwykrSZlx8uCOL9tASkTlbJZhXEDJo4hqK_NCWTfzeT12N4h2XV_FUwHEV6CVtsAiXve-3DB8dm5POv4bv-GbhoWTO8M4uw3aLdoFvMU5ZewTp5rMLFQdKwon2Oj79DipmykgZQ_6rKd8U1oQycNYU5TsVGeEb4CyV16yNDdQlCg4BZ399G7JF5pVjvhGjqlrBzFyRb43miUu_VihBpylyMX88heiCToTDwfLTjBIYOZMrB2SqM6Nr5CrrP5Z82qKjD28VoYi5aGZYCiteY-nJJAG6W7TM8vNk7oeg5vpmrNwT2oGK63E84u-VOmvZnq0KykQGSjhMhOxtrMuxVgmTRdSTXgtK1JNLXqwU%3D,2023-02-14,,,,,,,,,,,,,2023-02-16
LIFE Agenzia di Animazione,Stagione Estiva Animatore Grafico,Napoli,,4 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bc3f69b5&cb=1676371180205&jobListingId=1008461877667&cpc=0AD3DB1A95BF4639&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-2f4a9c032cd61bfb--6NYlbfkN0AG71ikXQ6DjEkF1bK7dgYLdBYMctPcHbYjdG_0glLaKYUlRgJ0Xd-3M6dLx3t5vVr2I6TA4nJqPlcsrNQgnv5X3iEluOKwbPiZQZP2bOVgFagsm3wvv2qiczlPYUlAoaxDvjCuR_xBFisa2AyV9eKVPCVmaCu7vdLOHd3DVWNXIgXFDG933Sn1Qx3YewFhdzRjK4767EUZjJFNm7OcFmXxEztGr075pQjTBuL2kuAgMD5HsOfsXiAFwRMZQLV_NP9FMMtnlCQaiHGabgj8C7V4HZ3c4vSvwniuDbn6dG3fzr5HKwDyLIdFS_FluNIlvqDzm09JTIV6xs-WqASkvqFYlctXBpj9x1ggkKaX6M23PcuCxdhrJMfwT8cdHBbEtqJ6JB2Exx7IDk3AwI3ZeT4GTxOaqqlQbJqOqNlcIOKxTqRvh_GIB6_4MEGovmxC1n88yzzLH8gMtIGQCJVr8dg1cuFs4o59SkI3DX4RUjg0HJHgd2Mg1zJzgVm_1cKmJHfISTCQ9XO7rW4rSQID5kgusNmCd6u_zaOvUuIyYehzF9-Zh-40hJ8WZynbDQx7o-KMmPURFXX4RnO-5cRbf9rYoPTHTthNYTM4TA3fD2IQEaLKsPIRGkua8QOv-IwjSXA%3D,2023-02-14,,,,,,,,,,,,,2023-02-16
Osm Value Medical,Project Manager,Napoli,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_821d121d&cb=1676371180205&jobListingId=1008130741799&cpc=E509DD49A6927373&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-f00b98311ad101a6--6NYlbfkN0B6i9xeVABFT5L8de-qXhyg8UHgvplG36njblT18AVkYqL1QYvO2A6yDoxK_Nfzt5fFq46i5O5r1CbUp9Jx6BacxFcZQ3j3hRV9hUhrM3b_xuko8N48hm4ZcgVtuardN2J0J1Xmx6uCe9TprJs-bU_VTbhiLRfFZb0kGH186bxiIeG8f8vSBExzafFaVTNNQlr1mt2hGtgF48PC9u5TLMTJmdxn1Ns7_3dfG6Hfw3Fm_5HxFOG5wWWQv9QF5k5B0rF95ZZ3UZ9qCbM62r49JcJcsVh_8smfXgqzQAt9ENPC-QNivsrIV7T3fvG-lU_-y6jLUFcsFzUHtJ7aVIpcCqXaXaaKTNuHmUSmdEC25AeHv955J_HPkzyJWK6_e7hLKfE2qUdJB34f9kneFLJG4XXgQf8oAjqzPoYVUr4fHSJTExL-ELO8-QcAgqfUqlxOvuOwt5Q7bJ8KvOWxez7RsQ3YVv5jTcaltyB_-OBUb3H8qKbCw7CrLE9yTDqh2AXh0MBOu97glSREVnosvlNN_ns2aeq3Misbs6Hhip7MSKGajoap6Z95-3Aa7AYy9ISb86lFwjB6isCv_rCpYfll3B8KaDc-YKMBMp8VwMyv4bnVIA%3D%3D,2023-02-14,,,,,,,,,,,,,2023-02-16
TECH-TRON SRL,Ingegnere,Campania,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_704097ca&cb=1676371180205&jobListingId=1007581838444&cpc=AD396490361E83B7&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-c6e8ad9b3cde6b87--6NYlbfkN0Bf7zH--WCva9hch64-vSufFGLij5owhii5BKgj9p7pAwk_eXebG4-ARKBU6wgtV7e6kUBFQSeMVgJFUZRA-hikJNZzC4uQcgB7ENbhM1x9Fyin91_K8qa-gDWzITkZwM38Q_pb63tvkm7Aoly8rW61SExnmxJdg2QIofA0WjKnL5-z81RvQbx7UclJpqeaXdnOxagEOoiP4tVrlrNg0Ckt4kGeBE7jMBGNT2fP1IcdLHPaJEUjA5gyIL9NFJt_0k7dZ6X98irVRjafUDCeDzaOkht8Eb0vWBIt7ee9Q7zuvgqDTrgKJs7Ko-xIGPu1QBg16YOWb7giYlmHcxXFUb3LMu1LWnOVa-TkF1-L5pOBkLgJ3OLa0YsHKxX1VEsVeRqzOZwaAe0rmBGz-aHeqQbt6bx8epRnEaFRPNAiVwDUA13CRz6DTGhs9JF_2lm2_sskUF_ld7L_64O3ITY7hcHPW4dAPwEHgFva-NdnpcGPmh2NGx_C0yobSsO51_OcoTRLY4P0LwzU7HMkK4snDP1Oje4hxCawtHzeC2HD0Blo-ErERwehXwvJU69XEYes1yCYQqO2SrYjyg%3D%3D,2023-02-14,,,,,,,,,,,,,2023-02-16
Iconacasa,,Napoli,4.5,13 g,https://www.glassdoor.it/partner/jobListing.htm?pos=111&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9767f21c&cb=1676371180206&jobListingId=1008440370577&cpc=0C1A14C72F2C651E&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-b150f77849bb4f4a--6NYlbfkN0DQp6B9kO-ml6optfvhZIF909R7pNNSTyfhxsi_kddqo6azqUD8WmQUUwOooQcypin0Vh7C8jef_fcJDze2ke0MzZtRYcTx1daRTnFf7wyWuVxPOHxGkWkkNxKe2YlPyov0vmQ04gD1uZCgo48QdGdbMiyB5CtzovZYjROCUpfQEo8nZQlGy82UyNTL2QDISm84U1DBxnxU-zG3I-kVVR-sgYw98b81wC8AfvAkC80VD5oPfFbhW2N1YWoa1EZ2bU5PQ38f5zWhdau0iI89l23jgVr3AKl_VC4t327kiQKTT4j7rm7bg64TMUaOw1vNDUCGNNnwqj6THY5xqXYoD1anpiiH7LOkGNSKTYlrHCoeDmpYQpc63MVas0qX8Ny3brB0l3dquo9KJJMUFJ1DZWKxQFk9anFLwnhbfIPczgdZTsW1ou-YK5cM3zGPLJZshNLv1uFwAfFdhE-rqqG51xC-P5ZxW-X1mLUrd8p9cmsig0DegzFt_KNUS6u_WftGV1HI6LVqynChwwEI4HRiApuT34IAqVxpbEJM1XQfJg9GOSlXQ0qcLyWw4vq7UdjOGDEpybzGZwXx0qHD2C1lW-JI,2023-02-14,,,,,,,,,,,,,2023-02-16
Okolab Srl,Sviluppatore di Software,Campania,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=112&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b3b6268d&cb=1676371180206&jobListingId=1008064394523&cpc=AB6E7ED505984E67&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-11165b9ad85fa470--6NYlbfkN0CF4j-VdemhqZhYBfyycXzfctZHQMJlOTMWfjELlTEYdzQvXrnMCEbQf7_njLW3BzLN-Zf8pM0KDVz2N5hR05WrSs-oJT9j1xtitTXCMH8DgJcrv9Y-sTRfR-02ADE9b0_rT1qvIuI2VvD-7ho4JCz0_z7Xu7S5YeqNnN72dIM_4VmcXQp9806Sw2qzpuUOoX-ZdiaxhxzvkEU3nODPdjyGGreY-U50FbxSPDStwbHsIPvplMWDxGetqAaYSzVXPREk33aviZGy0qz03P5dAW3wz_kgM300-gF177G_H_7cP18aWcuVdXp5aNZ3FzDU55PjcpXItXlPeEVslhOwYbaY2I6OOj41oqYRxrzn_C2y4bHWpO_ECDJmbQr6N8ypy5AB78B1dHyGg3b4N3H6utVKpNZ6tje5-xsKerqfEJusbGTcv0ihH8kmOQeygbMmX9QqlHLH9pWACApsYS538DEatF6-b6iCmI7LeRJWyt7wj-Io7FKAAPsrNsCg-0R0hujrUyyCpqXG2u2SHJN63Kwe5YBzDlhASK1TQxlVdlmoLCUZNALfkmdwG8gVEiVaN_FP1vcEI-4ytcB7847OUX6O2avPcWfRV-25eIag1LX0nWu0YsAPuYw9,2023-02-14,,,,,,,,,,,,,2023-02-16
KIDEAL SRL,Ingegnere Elettrico,Salerno,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=113&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_48bcb9c5&cb=1676371180206&jobListingId=1008328377103&cpc=A202EC670F9D0667&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-da595ecf651cef49--6NYlbfkN0A0Sge4nFD0rKJDz5Dmybu_9i7hTlLPONpP69bQ42cL2UpwXxEq0YL0c5CtmVJVNpip3CYgRLXkJ9DegJPLdE8r784yLIWMyn7T0yt8HBcP_eAa7d4LlSCWcfuv-1a_iWTYzNiwXWNLWeQMKN-Tf-eyZrIuqHCqcNW2Q52PemN3uoPbtzGhK4ayOyliOwaCUj3EUUCWJrjK_OAkK7u26wbzqIeh0-doordUa3JZ1yAzAgXChZ13rudkbltBwF5HyCgwzNXEeLTIq57CTXFaGIvLOumpzrn_uZV2TAO3Vfm9WJPrhsH9DRe3vUbPnNozRRKLBACiDkiYtq1C0yeVqJSrl5m9GTQffkLCvKwBNARdc_ouVaAvO-z4gb-FutcwdvCGQ9q7S1jn2i6qqMf_QRAsyKGr0fRyt_1Ali88SugjLuanWOvD-F0YPMFfNWuRxhRvwA_6A5qpioT8Z0-vtnJJDhp7y2ALaHQReL0QlKCwlD4-ISnJty85rWB9Tslp_sY7JDsAyuh7RA7_YwSksti3W6WmNdLuLTmqEgvv8_QRp_U7FVavt-r4peDO1X1T0yE%3D,2023-02-14,,,,,,,,,,,,,2023-02-16
CERTFORM,Professore di Informatica,Napoli,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=114&ao=1110586&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_53d6bfb0&cb=1676371180206&jobListingId=1008468375980&cpc=8AC01DCC8FF2DC38&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-ee8e4a8f1a466cdb--6NYlbfkN0D-3FQsaFb6K5kN-Yj-wYeYCLk6hY8QiV8Su9-Y7ucGGWhcMz4rqqesJf5meNCNKTXdaP-GOsDjq-mnRhnVsDFtDD6014uf75pBYwWp1pV-hV_r5N4IK-54haodK-tMNyUxSJR81occuCIS1dmcMmmAQ89E0D5PbzXfLB8HqXbug81xaJ6YEq43Q5_ux9LnSFZoolVQkqgZcBuUCnIEMGrTzNJj7hpwb0Kd6IWoObbhcK9UScCwrjud9_XvRcEVOBi9WE2mhETzVkwzMzleKObgxrXwLrbXVC06E18AUbmnjQFXHKiXYEnXOv4AMiphMeDwDHhAX8vO_ZTAdhcaERi688Z5MwBxPMtcoAZg9eI1hOr_36dCz4SitzyoQz9paZmKLMlZDdyxgbIHMoDYMrTWHZyKaJw9mo0Tfa3qQDltQFjb3TlM2TZZcCWXwR77VX6jfZHUHA_0_A3Y0XwadIQq5WOs66dpXn9DHjtOLsl9DYqrgki9vod_hHXd9sE6R_sCB5FlwMqp8zwLPnEznWaZz2OMZ6cgFX6YGgyLUWJV6NbdytENl8W6dcaEX4RMNfzw4N7Re1qMCw%3D%3D,2023-02-14,,,,,,,,,,,,,2023-02-16
Bre Ros Srl,Segretaria,Napoli,,24 h,https://www.glassdoor.it/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=000001864f823929bd5b601f1bdbb9e9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_60f4d804&cb=1676371180206&jobListingId=1008468940544&jrtk=3-0-1gp7o4eamp2kl801-1gp7o4ebbgajf800-fd800ce384655a6e-,2023-02-14,,,,,,,,,,,,,2023-02-16
