job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,Opportunità di carriera,Stipendio e benefit,Cultura e valori,Dirigenti senior,Equilibrio lavoro/vita privata,Sede centrale,Dimensioni,Tipo,Entrate,Fondata nel,Settore,Segmento
https://www.glassdoor.it/partner/jobListing.htm?pos=218&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f33a1d34&cb=1676371189400&jobListingId=1008449820365&cpc=45DC3EB807283E85&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-ed18c1afe66d35d8--6NYlbfkN0DyEm5GgsnIRaQi0RyS4t-Pgo7REKqhJI73EPrWKAwkBCilPOrVfXfWpDZ3ZoUodhjB9Y2LT6OB3cFukOKX0vf5EwaXppSVsQ8PE3GbcOCA7RDCZnvpiSq0m05tEKRJGGIc3h_JURubhAnyj6CQ7D-Q1_ZD63anQ7ebqvLPkZk6yyou6c86aYPCiG6eZX6e53pedVks1CwVWj8yBY7kfdRXhWyAaLTG02PYz73UD0ImMEIQZmB3Dcaji6-_Ue8OJlpe73Ycgh2GhDx-ViSWc2cCtVcg4RPnd4qZKAQoz8E8QXqIUs0litOGVNGn1cu3FsO4go7y1RCI-7ESE9Qim9lZ8Sv9NkxfvkgRpM_X8-62BLCtkvTPuORggKtk27dYOZ0jwsPwdomyuPo8ijsnXr0aL4jN3NLXdW4-VlPZkAbAxhjHepkYUD-ZnbORe2a82q-W2d9F0Bt67cpfVKMnhsYFYyg3udr6OSCEOOCMk08W599FJkr2WXmJjZapg9stv6epedWwKIV4oXdcATkcY4-u-bihRxVt_epNBKgp5CQa7XpRl-O5oUdQzgKQKgaR42dDFrmWmUnQEsOfsEWPwPja,2.0,3.0,4.0,1.0,3.0,"Napoli, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile
https://www.glassdoor.it/partner/jobListing.htm?pos=219&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5c10abb2&cb=1676371189401&jobListingId=1008439485896&cpc=AF02A54CD0F60729&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-891620c2df1b06cb--6NYlbfkN0AahMpHASL-rqQOt-rayfGPjlZqDLP80wvjLoSAvCb3DA8jzMeSm_Cwk9Ua1eUEnq4aCjDmv62P9FIjDxYGPpOXfbea6ptv--gEuw1HA9ZYRCwAXXwKBtmliwIao8HN5RW1zHuURw-gCNwHu9wgcQDuftD7_9rmFT2WdTDsFCHx5eKOITLfzW0OBU56C1k74NSleyTWZu4HCS3Ofkkojeuid-6hArNTL6Pj9lEQV2fz2B7TP9PzMu-DmpAwvlUhc4-P1ncwYUOJcxkDC3vMqXgZQehKkbGs7KZv7j46cIn7mPA2ZqUqqThaI8LXEWS_p5HT1qU9ASCPldv-DXzWqibEJpvSUIco0gVFwfTSwYZujd-4svUOgLByOAio4EXhSB2YiTgTg8gF-Dh4_EQ57y17EWZ-vyVzAyhPMADmiFKUN7avKuwUXfs0eKC6nQH9DmR79lzMEic0GInd00-6RMFi0tRmbkznN2FZK2T-6TwWzipLmeidPVAqBiRgR84OXJjPz0xB5Y5qtkdK7GxZylcffqsDj75WyyE5T8NEyX6IptPArdz8jfASBYdHmZ4N7WImCIqZQoK68fT42ClngzNYMypLitzLFlc%3D,3.6,3.4,3.3,3.0,2.7,"Roma, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 1 - $ 5 miliardi (USD),1988.0,Servizi di sicurezza e protezione,Management e consulenza,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile
https://www.glassdoor.it/partner/jobListing.htm?pos=222&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&cs=1_239fea79&cb=1676371189400&jobListingId=1008323674592&cpc=1B5ACBA47960D310&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-9b9bff7a33e58860--6NYlbfkN0BImewq0amX-W1xY7fKQaAGnpysQX9CarUjLjoQc2hm5I6kbS3DOLI6VrWqtpE3IxmqWFDZr6Tg7hhZx9pUzG4Fb9lzsZE5R4PxwMlN_8QA9RLhwar5icg0QPWnWgz_43OT46jrNYKerYcW16nP2BeFRPo3jkPHaXVam3BpNN3cw_wAk2eSnU2S15adHxDp0yx0hhlv4bFmD8dVELC_bSdxhqw7L_nrZdzhn4MIafsywPCqXyiFi8qt5OfvvmaZ7vON9zCUfvrGcz7-S5RRnSRIFqnYhHqo-0mpGGpGw7JMRh7t_AL60qnJCf1qEoqn8iWTanhXvNMt0H5XwFwBNnLeESvS7_XqZvBH6wY9Qo9lc_euwktE7hwc2R8X_sQoMEy7EBZLH76BxnG3Uv1r6Xg7SAU2GafgI3lP-XYC-uf1W3TT0WtPTymzWdd61XFEbN6d105F8wMFJ-Z_EGZ2SXPrGeNP_mdHQhAnVGmJkV1vKwrYcVmZPjWRaV2IvNyGZwrQd8FlI9LXK7ESmcoyszcxBq38HMxnG12IqpXrqWH4Q1h1DdSpBHBBx1QV8t248A83AmLIB2KhsBisSiyhaSCQakcSHyBslMiBaaHJsBtky9ZkGzyTRpAxPX8WiG8awYq3uKWIOHqvIF9yJCx0U979Q_NCqjs5ieFhYNk7u-fjCc3xh58wpyVOr-EPUDDrbeKMwROF5iPsxqKKzBKvQf0z37QWAEyBUnA%3D,3.3,3.1,4.0,3.4,3.8,"Milano, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile
https://www.glassdoor.it/partner/jobListing.htm?pos=223&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f79e3ed1&cb=1676371189401&jobListingId=1008437760974&cpc=32EE424DE2B657EB&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-575bf16ddf292c14--6NYlbfkN0ATJXetwUb7nmp-RXn8Psmeq361UK7im8KySr37GRORWIwQGpzhga_7BAFrnPfsRTR4tahijpzPuK8JeM75iBqylrCx70pzOTnFHo63bxRmCe6vI5CatMIcCzvZBprhAYO7ZUEvgAup1AmKqJaxyehzNwEiv-JAmVV7ebBpaZZYuMUUfdgDOEIPZ70_tfweqe_RsI898udO_HSC37PhDT8H4oC3Q9u7MLU5gGP81LIjXqkwVjXRNU7qfaONVVRgdS6FToGNHHj6CPcVsqsteBmF3tmWUxn6M9Xr9jtZNOe9OxKaGNAHRT7xaqL-AWkSSOdRSAg3ze2L8jRzwGgFcYxiDS82Ir35gBftgdanicBDnMVh5cG59Fj2Q1VG9_4mEvsSdk29BlK5V36jNLXlocriSAyCaEfpF_jJjz442d5r6Y-hrwUgYzeLfI5H-odeVFnp2s1E2SuNd6ErQ7he-lEa7gchQljuD6UTBvmoPieUMEDMVnN8Up8I12bDrgJMZFAAzwk_Tl_5115Xt5LBOlV393MH7qeyj7qQ9RXnIuWX9FkndA_d7MHi28cXePqEtnICM5aZxCKJKA%3D%3D,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,"Arezzo, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile
https://www.glassdoor.it/partner/jobListing.htm?pos=224&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&cs=1_0a3f9302&cb=1676371189401&jobListingId=1008428151013&cpc=217C45A42544DB93&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-ba2a8ef6cf0260c9--6NYlbfkN0DBkioJ74HNRv1kkbLI_dqC2yEDIKgJL0nBFSYaLvAaBKZdwsjGyz84gUGVgPPKCPrwy_5GNTkMiPqxTEQVAH8oaZB6Ofn5rUg_BySHPUlx4AptnkL59vp5IdoSqsmiSq6APfZzsHwRsLsWKemk4iBTQ0H2n8WqAr1r-23zZLZOl7Mt53Fgzmjjd2XsapkU9l0MXaGTDpr4nYuetd4-m38W2r-jAyAjfjlnzPKdhF8H1PnHhoaUNTwh00wUs5QSdL8li_-9o7kdHyh6QQSXs_atke56VL50M1BTOSnN-YywbWxbXe-xWK86Xro2FY32Yn8kw8Q8scwLXrBxWI5U3PsxLFdONcQg6kMWY06kCl4uVR7tPw7g3n2t5P-49HfjLZLcAf2w9MKyQ5B8hJI4l_xpq0Xsxsj1XIXo5n5Xc2kbq3RLTTwZx3xU1ZfnF4b7rjbYbI8DwwjePZgK5MlObQdqwekBlOPupkDRG9Gvgm21itjk3XGuxPk4kjMedi_1iR5VdXlbJmkz_GzIEiDpe96XFKJzYx_Ks7zclDRwLXlR-SQ-966j0lr6vNHFweS5taxSyE75e82FZCgmXnR7rI1l,2.9,2.8,3.2,2.8,2.7,"Venezia, Italia",Oltre 10.000 dipendenti,Azienda - Settore privato,$ 100 - $ 500 milioni (USD),Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile
https://www.glassdoor.it/partner/jobListing.htm?pos=225&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&cs=1_b47ce4a9&cb=1676371189401&jobListingId=1008449995476&cpc=C19BE7EA145E205E&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-827998089dccf002--6NYlbfkN0DEfmD6JQM7-HYhm4jDDmBcRH1b0qR7FVEjWKgiWJa8VqkWqClilASDHWFysOGfwZF5T4SaeiKbEOGkRYCtByUtfc3bKfvZ176R5P99doQjMHFBjqBHOGbGpSsGuN8sflrURoS-0WUZ2MgXVdpr1Onl6Wf5VoeI14ktjsbzv1aQn9pRkZyl7XFwEVeA4j-U_C9OVXecl48dQVBBvhZtRohDVMV-Z5k_yhT_8UVemvSWGrq-5nxF24vjrgcK31GAAui19h3JeyraIDfneVFR_292hWVfwWi6H4hdOxl3wGYrkjSkaMPmjgQo_BP1EwjTXHvve9E0vfQu61w-eG89Dibr3fHdYPEGNNDu8UMq5ww53m_gEvBuz6sJM64SiM0ZD7LQ4yWxR3KHA_WW-rDSbcoPEKNlrdX8sxmaakOucWJki2lDIiI2ldLFy20HemFUm2J9yFIliybNNTuuXUT-dbOEr-r1gJq51dltDT-0Jb9iwfkLcqbnaRHEw169mkvr_uJ-mE5IWByNi7-1yxIQmiipfIMIbqar58uTAGC8ZLJXHqryiQBY7gLzMnbt65OEerlHjFayfi-d3w%3D%3D,3.3,3.0,3.2,3.1,3.2,"Milano, Italia",Oltre 10.000 dipendenti,Azienda quotata in borsa,Sconosciuto/Non applicabile,1955.0,Ristoranti e caffè,Ristoranti e servizi alimentari,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile
https://www.glassdoor.it/partner/jobListing.htm?pos=227&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_34ac0f2c&cb=1676371189401&jobListingId=1008419569105&cpc=5E31031E1AFF45A7&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-3f3eb49a5fcc5efe--6NYlbfkN0CrJ6gg9L_LwD77aWAA7gr7RTjh6ApatSpbDrYrEBCdalRB-gRrRjtQt47ERLwFcgI3pMOcUzeKtBu0dMbnvinv4AfFuy4_hZI8YOa6RQx4oQYTZ9hAd_-fZ6iUZegb1yJjDK0lcLgu3BXE8lCuwMteYG7Y56yrqA7UcBpxdC5rwQc5EHKRrG1pF-5dUmaq6AmteB6l9eVeGUGR0GqLXGeL4DzKiS94ndKWNcIAQKJ0D42t-P5tB-H5u3isamO7EHJ12tmuAmHc73LYhImAqE3k-dBvQVGzxdfFq2CaleXvNf_LrepvqzxlLDgtqMYOWIcHEQ-miaozo5RcUPEJaaLIPt427pDbPGEjj5BNBI4lf8Wd6U7Xi_7mKg9sFwwB4fPeBBXK0eP7cPCf42PPYgQGXUTdTon25fVuj_SdRFtJzshgqpyjCrBEnnmpP6JWi0Uc2ODGJSHl_bw0AGwgkQnAjM5ZwP95X1L6hEfJFhWavXdd3tcHZ9I0TzFTGD4j2ZxizsRYBjl3REneSSSWq-A4b1fuhjOdKBJl47dHLpxLripixYGNxaXZfoosED93_YB-8088r1V0QQ%3D%3D,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,"Saviano, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile
https://www.glassdoor.it/partner/jobListing.htm?pos=228&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&cs=1_d66293e7&cb=1676371189401&jobListingId=1008433390611&cpc=5C70DC7FEE0D01B1&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-6975912f7adb3759--6NYlbfkN0DNHicFt66bDj_JqTpJJQfs9EHWPmwL7DCVdQlRVAYJrBqVXH_Q6RSAnVxWmvLJXWE6UdEEBrJvE7PbVemiRBIjVJ81lbuXb5eD11rG_ek3CmsPEEn4-P9ShtV85lV08D1dyUTmG5WgBDPPMmt25MViK4tn6OfR_5YBxdKn6mIKsWUB6G15P6CSljp92unF9aTQU-dm5Lt6LWPFxK3DiC6DWMn4OFjrq1jneZnrVdLwumCDle42hjKz3sV-dWQ5g6X1SwsdyplMXJQTPuxh9ELW_9b7aJkz44TMGd-7xOUOyz1nOoMfkYtYi9WGZzCc6U4PsZv9vqD-jumFdBEjU5zLWjU_2kBOGwQBk2sYGfBl9HsGcq9OKzfh74FrGnx59I2stTb0dmxcbIQXZci5JlxeaFmYH168iZfyItJUdlUjBBAzWhW-6hqL02m_up6QLkpTqlCtfFSJLgSG_RvUErOGd79RV_JWSpH43PtB3h-RQQC9ZlCF_rz34EfrYKuO1y-xYvySqVXco2uQkwTKGl5xIw3TCdgi1XlKUxzTb1ZUE-ks3IRvJoZ_DKT2S66GDweTCIWLs6CcFbE2DYt_ap4uClaHDHd6nna7VD1dxJaPK9Y8-pXMEXI1T8A9rj12tQBxu-3sMJOmpg%3D%3D,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,"Torino, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile
https://www.glassdoor.it/partner/jobListing.htm?pos=229&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fbca6111&cb=1676371189401&jobListingId=1008433146771&cpc=BBD63848FB84346C&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-ea54cbf3f93dffb0--6NYlbfkN0C0jkC67az_l2JZOdjrYW72hY8OzNLs-wjENDeKvUUf1piesqsELzqPpEuaqx3MAOT-XHWw2gUdthIFlmmDfhX0JoEUbEU1LkiP8BZdMZ8OfHrVeqloM8WEBaJe9bqr6U9Nb6QECs8Y9SS_wYE0mzyIcIoySKnGBbyXuHxI-qIuOcwVH-e2GNLoq5npFuw3v0aMrBd4d6hxWroLevHrs5HUMZtmtpbFrML58setlXdeUUXesb4hhT2B_PP-z9lnGbwgO4H_huPdJ86JaIfDiTMXK2k-PhAUoDfQwFRueUQWejB2wo4pdJr1v6QfyTejJX0VmexZkeO5fA1rpKF2BnwziuP_uSMnPrxqFIJJFjSIAmaWKnBs4ojROC6bY_PRXhKvhS7-clrKIqpV4j2X_pX-XR7BLh8E07opoxc6-ZhwA5cU1E1aFTCi0rTG-XINz7_d97-7ty0lBY6SNOGQ-m5NDoi4k-DKxdY20TSy9KM0qiCiMJFJ65m-xft74xc7OQhLi-NtIDaJHaGWOWZKbleL7DEHWUJ7OOGTh3yA2YQPhtZTEDUI6aavpiASHdsxeW3CXYkBwWjrFpBUK2wxe_VJSePZjKzuiG5xau5sthZsLQ%3D%3D,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,"Milano, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile
https://www.glassdoor.it/partner/jobListing.htm?pos=230&ao=1110586&s=58&guid=000001864f825d3981e3fe7133f42b21&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_24fa21cd&cb=1676371189401&jobListingId=1008456750227&cpc=26740BCDE5E48596&jrtk=3-0-1gp7o4nb0is1r801-1gp7o4nbhi6ji800-6f12222c5094eb03--6NYlbfkN0AmfRD4Zp5OfUsIZ0k2uBcG5JHof1vN8ikAlmxrwZvF2A__0Vg-b6PglnfVvJ1sA_1S90E4EA0RBxRGbBsp62SvIkX0hBuTucFsqUY1K_dcI2dR83AzpIUTEomlnL1gm2uitZnZscHX8ata4y7f-Wwp9BHlJytcd_Tn4dhlCp9ZFVJ-jQY_OuIQyInrnXHxTb8qjQsfYcZjpjpsu53NsvW4cig7IpACch4jkqtifBZPxFMlJzpKQ8eTGA76MhF2Nml8jvwmYeGMoVR71-aAuk0hYRJdE93LwJ3NgRGI8mKV-kK5gXx7QGzUzpNY1fD-w1bRw5K6eGzNZfX_rg7TQ95DhpTwViY8gdJDgOyoD_DK_9xthpxYAHO55H448_KwwOceVj3EdW2sd5bYF02ms1rgS2of_jAyCDokXpz1zY5Gcoa0asRBgtdjZ3MQKorTfU-6ZZUdsqG6buKWSfmWCSZVevhqP5upIZtaKZu8KyXJuUuUkrVk5DJYWwvNKpiwvgpT5RToZeNt_hqNX1p5ddUC0-pvf6gcDF6tuRL8WRBIbIEHzx-aN_aHfkOtgeK8v-QElguCvsaTUhVb84u98srwhIKgXhdSo7SCcNUDrJziW9N6okzk3nT05B2TZL3z_II5D6Yg3RYrc4DQSlxSqaYCZ1HUM31JXrklJMXL1d4dtKHvQKaO89mQuadwh4DOJyN1i2cNTjvGhpM50EktgLnO05q1BZfQT55clpOyMTmxTnWTlmUek-LydWyvbrBVJAJDX9csQivRDK6v1KBKbt7Tg71zpWOcsRroGOdLcU9b9UBaY3SX1-aIRsbpjxx98kinS9G0bpnYdQ%3D%3D,3.0,3.0,4.0,5.0,5.0,"Caserta, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile,Non_disponibile
