,company,job_title,location,company_rating,job_age,job_link,Opportunità di carriera,Stipendio e benefit,Cultura e valori,Dirigenti senior,Equilibrio lavoro/vita privata,Sede centrale,Dimensioni,Fondata nel,Tipo,Settore,Segmento,Entrate
0,GIGROUP,Junior Operatore,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001862142f158b793370b7a87fcb4&src=GD_JOB_AD&t=SR&vt=w&cs=1_45d608af&cb=1675595281330&jobListingId=1008410796133&cpc=9B12395D9F8719A3&jrtk=3-0-1gogk5sbv28uq001-1gogk5scdi174800-535ccae4ae5493c2--6NYlbfkN0BgysnIr55e20vnvfGrU75tCLJ-2bjT-JRpm-kAsv4N0PIv2yFvvZBUQk_-3UJYmj4FjLu6d9qLV8_UqB8W-y8UBA-L2FXTobij4oUErOCrYAmETzeJxf8yI_3acYfs3cBbgRF-Mz_blAkPehn8e8dT4aTtBqTXCaRa2v-PMD4JnW99-n2loWoBUYImJeIQc_k9zwZnrz8uloqx-sKHrG5QVduIiuKQxuDI2cVmIRLXJFuGOt-cFIakrPU8bKPhUcNuNSnkfbxfdIa6NsryqUZBDokxZZWlyKu0FqCLwGT5jC9I4zAupBxCmuUb6U2f1QP0BfsAy_z9cvTf94esN2cJsA-Wdqd6eD5WbbcbYHIJTH8jPf2X3GjexLkIY47mwhwpuYE9IWW5MaO2Ia4-G82tv7hTYeEFgk6KlGkiNK9cm2j4YLXx94pD9470rKBjCR6DKZ33UNrnWKnmtPh7f6fqbYvC0PQvjTapwzoIWMH40-dcqm62uzEs2DYMNx3y4HzJZ6rhUyHGFBZEehzsLff_fMJ1h2YkYbcvcQ_JZ6roIu4sAqTAIkQH5rd_kYmqqGh8EaCXfWapRCbEK2UY9yh8nzRwVZUWkzhp8CwFURn9Xf-DokLtjwjcv1qARN4oVCnUQ5SUcYbdW4HkW3LY-plj8ANUpDFOcmXMwedEkwxMQFx1oQifQmKvbYQPZQf5oPB8EllZI6gcOnGmZkRo-vCDvk9rq6qTxaX3eMQH86krowZjOkUazXHBXwsf-YboYGwOD_cfo4FDcqwH-VwSWbSFUcLtaCXKLn5WsWhNZL1QilmNtIMChZzz_0qZOTBw7eYmT-iVuKycOLpOrVp1F43SvfXcgv8YIoIqlEUJPlMY-oKKXBpK3sX41_JPceUxBbeomuppwZ2phsD8Z-n0UWCkDgO1-ob8NrKT2s7QMnaW4HyC6wJs0LNb5HRREVRTvOSYV2YvmbNXdH89FfeG34UuQXFwCFDwp1FSe8QtixGmGcwwDwfTvqIrcjiFL2Sq0qepvYDzOYpzeLdtFaB6r0H50lyqRPwynqB0RB0hPrqDfupqbEA3UHyW-SP_YYUHD1lri_ENevmDA8j-zDoZUbekgg7UznTjDoD3YKsd8rRtobQutpdWn7wuVkZ5xJu3V8no7ZKhMDJFoEY7BZY-q_3rPrttUDGNjrAPvIAkxAiqLQXnIa70hB7PM50si2eM865mjs_-_FjO5OKCVvxTFLw5q5D5bD8ow1bUlFK598uOvw%3D%3D,3.2,3.3,3.7,3.4,3.5,"Milano, Italia",Oltre 10.000 dipendenti,1998,Azienda - Settore privato,Consulenza HR,Risorse umane e selezione del personale,$ 1 - $ 5 miliardi (USD)
1,Enpal GmbH,Senior Business Developer,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001862142f158b793370b7a87fcb4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_bf2b8c35&cb=1675595281331&jobListingId=1008446032351&cpc=4977265379716ABD&jrtk=3-0-1gogk5sbv28uq001-1gogk5scdi174800-9c4eef082d133ada--6NYlbfkN0DkwziebNfXPE2Zw22jCFKIwOAdARYtFHjNymoGheYnAEOev3-ct8eHLra8C6vlzn_5a6iAsUP9ZIyJmBwWkn8yESMdqfC5jBngS2j_M-Ssf-wtR-usY_qQVQmLj0U39LP41jn52qXNGS-pc_Mjy83RZC_YsUZHVR7TlDeLxg-7mfGzUj-XxV0qdwfN8-oLj7pJODHkSlAX4QYmuZwVFKrltTs2fZnqMokwAfe9mImZych5xPozfqqxNi4ptCmXcXs7xkwkhG62gkAotvouWV-fupcispiysgwWPyjdL7HfboJvQT_NUF2EWLNcMl2IRNCIh7NEpmt5Ef31Ec8sbeWdAOBsCeIpZEoTx6AI9wPnkCngO7y9acXpCAnVjAN1ropzhT0C7GCrWdYdRHEGPLHjSEtSW1sx2vpdvB3XOxKqV0oMTh2syLNPIUvbU-S6PJ3dvivYCGP08otjjb8SB0LpT1CxooOOs0GOykrIxYSefKf1iJAuVeydsVLD6iGgS9A02X7BDdUjcpgI5lFYLWWMQJ4_BmL8abZjwgRonRvZimVVQyhLFznrtFNRmt_DDvfoI6sy0rQJIoMXbgK7vgLuW5lrzHg7jywM91UZfNrd36vQ2lhvvNpcVlPFRnoPdUQpvv2M30BAvdVhPUbewODG,3.4,3.2,3.4,3.2,3.0,"Berlino, Germania",Sconosciuto,2017,Azienda - Settore privato,Energia e servizi di pubblica utilità,"Energia, estrazione mineraria, servizi di pubblica utilità",Sconosciuto/Non applicabile
2,GIGROUP,Operaio Generico,Crema,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",9 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001862142f158b793370b7a87fcb4&src=GD_JOB_AD&t=SR&vt=w&cs=1_4a941967&cb=1675595281330&jobListingId=1008431241566&cpc=373C8281303CC873&jrtk=3-0-1gogk5sbv28uq001-1gogk5scdi174800-a2ae12e9b8794796--6NYlbfkN0BgysnIr55e20vnvfGrU75tCLJ-2bjT-JRpm-kAsv4N0CpxGnc3UPbZou5OtOndD3Ma5d_bBoOliIxP40LNKIlpq05RGiwpEAiccfaMW2_H4rn9SV3PmCZEXHS_yW3mDFWdAqDEFU0aHe1zOjVfBi2n2kJxYw7CxSqlwUx9WjL7Q_vIVP6UWlxc7q5FOcAiiQBf8q7FKmSOtilQJE2sMT_AQUZaHwTcIehrjhV-OJo9TAnAJemg9ObuGnWm_eZXKk_mLdU8UsupGczjTErCO_Uv5JwBK3SgPqSMmr_bHIv7E4geTVsa3SqXPOYtJIRb3EtgBxHYptVZLLuGuiQCkPioWWGEllWIz0xJduQ7d7Fz3Z1v1KNfFIyr1N0bdGzOThRpW6p3AO7Q1FS3u6TlaYmaq03ktfN4NpfNJzjy92acioiQtUIPbbAHnePwxdsSZzsrdI7wTuBOq1WdA8O-YTT1lbTdVdYwAyFEgjGdqaIcq_dnzH0I-ZkyK3oCfWX-M2ov4S4_tsZrJPsm7NjwDSqhga5mYlppUav-vk4sxt8Gw4D7b7qEDcQDNUEG-ifO5vtAPtQkTyO9dkwOKZ2fP05fJ8oGGs8fYD-U3viVLV77IATFSSiYL4CdEiXpdhr3PrvaOhOFj8CURMPZfccpkowtFjiEnTRWjPDMTQy49QY-EuA2ZEjN-4G-_V6Dj0mGdYWd_NQnYO0jPvktGWROjfBz-dB4M4nGYyKRZJSVyyFsPtYS4B2roff5n6I7a5rga1Q9MHqreMRb2Q8pmQP7p5Bn30Hi24_uElGva2zllFQu75llnt0ot8BA0tJyEqPWA6UT0WDFOiWTnq7_Jk9TRw0NigHJCRX0i044KpLIDhAUNikObCn_-syE7M_qb6-B2I7yJvpB1SsIXtU5zV-aqSq2s0QjbIfWDz06SeaGqMrP08TD57uW_jaxEy0JZq_X_3VZ2pdnzIM3Ppvn1peNSw2m82R4lhEDKYHHStIV8ogj_MDPirqkedOpc5taZ-oF2ZRdkM4makoFiltbaZMSyuUF3pf3wIj9nG_kI8QfvzGKVHYGSULvsUdtznA05AsT0ndE4E9vtUckONfYjhbNr94iV0VURHi9YA1yTUvNloALEbtrJ-_SmEPXLr5I5gqNmwDtEeJL9IHxAvvT0A5LqGZKTsbzbGctaKdRHiXAfCzfQrDmmLucTEpMKnZSXSodpiF8PGVtsoHbLzIqi8w3P35vdVH3wxO4BNrY7sMRHN6-QXHZ_HkPwGFG,3.2,3.3,3.7,3.4,3.5,"Milano, Italia",Oltre 10.000 dipendenti,1998,Azienda - Settore privato,Consulenza HR,Risorse umane e selezione del personale,$ 1 - $ 5 miliardi (USD)
3,QVC,Project Controller,Brugherio,"<span class=""css-2lqh28 e1cjmv6j1"">3.4<i class=""css-0 e1cjmv6j0""></i></span>",18 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001862142f158b793370b7a87fcb4&src=GD_JOB_AD&t=SR&vt=w&cs=1_7dbdc394&cb=1675595281330&jobListingId=1008413006028&cpc=9E3121F390AE2874&jrtk=3-0-1gogk5sbv28uq001-1gogk5scdi174800-750879cb0d6fd6cd--6NYlbfkN0AEhuH6aQ2jAlpt2UORMZJ7VGkp35dfBxxx711uJ_34-fvlZY-X3lIKJmywyBD8VCgRj2CnBPSbdNkTA0QtURpOUqrqMJLmkZ-zcYbNEpzbbOV681bGTKIxvFh8gKieWjYChQ6SjLg9nsUAi2qoPgFD-j6-me7Z00g9ut8WbwTB0-VA86ksySOTBh5zyE7JeCcncqqY4ZhmbUgILUzJYDdEEGsslNoIcK2k1TbqKBNBFSPudWGk1iXBYTNi4oYZn3LgcENZwOXeIvd06Meiewm04i-NGgJ969ekcf4iT2n3sMMFPOJO-X1r_lUNWKf2R342ZN2Lnu-5wMKkhY_Juz9mtoBes3HAH0lXYfigxZE-F1cp_bbOGIbxXWZZ5Hcm2kx0uFjzsM7VN9vJtKjdztz82xETLZZoUfAzWjHatW8FO1_F-E2m4i4GmWgizyD3XD6BHjLH9bEv641_UTtFWbfcTI0jeVon7QR1b-eootxzOlTojfQ17ZzVLhliBixuKJzVCvqqQWw_ZtaivQXKufiAsXZzX5PVlWUJXG_J-t1QiHJD98IXvHFV2h345jSnOjnNM8IHr-T6uFiiGUtvOeHVS_Tx1zSdnLU3C1UXyLCws-SFWPy1e2B6jAE1VVFXme3DzQOeSriQIquO7waTJc-5,3.2,3.5,3.4,3.1,3.4,"West Chester, Stati Uniti d'America",Oltre 10.000 dipendenti,2018,Azienda quotata in borsa,Altri negozi al dettaglio,Vendita al dettaglio e all''ingrosso,Più di $ 10 miliardi (USD)
4,jobtech,Junior Consulente,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.9<i class=""css-0 e1cjmv6j0""></i></span>",1 giorno fa,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001862142f158b793370b7a87fcb4&src=GD_JOB_AD&t=SR&vt=w&cs=1_f40a7a50&cb=1675595281330&jobListingId=1008450333689&cpc=5B877AD962FD223B&jrtk=3-0-1gogk5sbv28uq001-1gogk5scdi174800-f1e5a89fb05ce068--6NYlbfkN0BhUQ-HNNcduSXnf43rV2y15v0z_WsvNujsSbY0-jJgEbUfKhyj0sSjcKj9mUwwW1EA00mLSRkiuNVLzHgifVjNwYvLxqgXS_7d4M-fvZhyoTqvp0hsQldu00DdUaYNGp739IVG6k-CW0FRiVWyNeFHfTlmC1okIW93CSQnNGiUmat__L0MSixvAkrMu3qZIjh43rYv-jVxCY4CTL6shkaaE_53VGprDxBvnjr2IQSj6hEAGhY02vU4KtWXbH8cWmvYIiwSDDjo44mPm-mx34LFM0kJ7ELxBKm-LKp4Ug-Yo6WKh6uNxgPlMxfrxMi-zL_T_b0QC-ocKW63KTad-6xysbdh6C5QbSHZCdKypGfOBFILjUku5W7bgm23o3p7NsM5U0Bdg1U9_XLc4QKtzckzRGzKw2zqEdwSKtdc08kIzWYBaWMISbPDLHl4reoezPb0f7WdG1cueYRM12wIbd7jxMzT66NfRLqQew6qogYva2I7SDV1cft4BtVkcAi6lSgA1vJ0UE_yh4poDbadfBDp-OaMb4vhd9j58xB_9CJVO17825WOOoQI6T1yhjuLv0wSBkhE5cv-7Km8h2-tYYZFIrqGF1GespTFSLjer-sBrQYQpmB40m__CDC5V2fUldYvY2OiluKsJWBEM4ZsZsrg65KUkAA_zQbJ0pmbh4uyFw%3D%3D,4.8,4.8,4.9,4.9,4.7,"Milano, Italia",Da 1 a 50 dipendenti,2019,Azienda - Settore privato,Consulenza HR,Risorse umane e selezione del personale,Sconosciuto/Non applicabile
5,GIGROUP,Operaio di Produzione,Crema,"<span class=""css-2lqh28 e1cjmv6j1"">3.7<i class=""css-0 e1cjmv6j0""></i></span>",9 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001862142f158b793370b7a87fcb4&src=GD_JOB_AD&t=SR&vt=w&cs=1_02963c67&cb=1675595281331&jobListingId=1008431241559&cpc=8B80225A009F6369&jrtk=3-0-1gogk5sbv28uq001-1gogk5scdi174800-798fd8ebf8fbf6b9--6NYlbfkN0BgysnIr55e20vnvfGrU75tCLJ-2bjT-JRpm-kAsv4N0CpxGnc3UPbZou5OtOndD3Ma5d_bBoOliIFguEYiETH_45houfHFtSLQGS8G0gQ5r3fnq6PO5Elb74gohEXjsVlFDd04XlJj2gQEHg-XLceMi3iAror-0DVny0x7ADY3L4g13nYvGLZo5xOVdpfYKCrykwBJiArIticGPcjjTsCmdBIxEXYRlg2cS8kSKwdQ8XQZCgyMSrWlJl8fyeRb0Vs2rVv31kH--ysKs99GHaE6Glt2dHI6j51XH2YfELneDXTcOtq3tov9R-4V2_xwj7Ut7H3ZRH174dW0Nbj7LyYrPVNfD_O7PgdV-TjVWEAApQz2A7JVhC2TA9Ybs4APVeXcSkwBBYJEC01A8IvgLoAiIX60KEx8pXwF2MWbh75iRd5c4j6lpm2wdvwEgFGJHR50h6CyJefM3z0etwZqHleoDnmPjq8wUcrf1_57OPIAk7L4RAocsV8kNE1kZJCabfhkSPEKtkMmqHeLM4VbXR97w-EQtj9pQCfV0LJ4bQ1xWeJ7nLtrFKQfhmT_DxnJoaVlk9fhPiI8sV_gTOkTFOV3JHco8eaa_XEnIetL3DNUb3Agbty21OFoeMvh_Bf4FP21tq_YB79mYdFfFLYtaI6htbsrFKclRC-YXYoKuA0Ptqa2d-M5xYQzPnOglsME9kS5u3XP6azpDacfUtLY0xaNDmuQKAcQna_Pf6Pi34xYCJiGBzprhwgGlrN3EYYV6OMwWgeg8rnVsV-GeNMi7NSw013iGTfm85BiD6o5Fpv7eua4TzEA6vjtk4CeXW6azS7-MWNB91c4AiN0AUZvhXKY8pLj9FDZhINwUWhjlcqWBV3YGgDv3Sce67BOjxAXA-fcNlLcwlG4SAhWVlvSDtPD2Llh4teG0jrzD_tt8bCFwovXfLwUWLAhEvXogpka9810wYPeWMqjpuKlozgSt6VGW6t28Hh83cVDRAKrYHhM72bE1IRQKs44ghr1Bm02gU3SBspFQbhJO_PRPO5bAeL5_K3njsz5TuefhhIsqfHNPtroYos5Ebulj9xCMMMwHaKwgGOchtFLECvnNRH-5BDQf-hBsJpYmPxbYFeUf62CgmsFOamwWBrt8CzNgIG2yKNGYag9aBdUQoVsncfyQImHqR6S9jB4VGASFNMF7uJaR1IGPlPobWDlXmrkyDfmHJuij-pBx3AFDibXuKO9FioR0SnDLBtY_URRDysTzSWA2GdhkpaUcozz,3.2,3.3,3.7,3.4,3.5,"Milano, Italia",Oltre 10.000 dipendenti,1998,Azienda - Settore privato,Consulenza HR,Risorse umane e selezione del personale,$ 1 - $ 5 miliardi (USD)
6,A2A S.p.A.,,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">4.2<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001862142f158b793370b7a87fcb4&src=GD_JOB_AD&t=SR&vt=w&cs=1_1d06ee8f&cb=1675595281331&jobListingId=1007243344510&cpc=72B33A28935558B9&jrtk=3-0-1gogk5sbv28uq001-1gogk5scdi174800-1026fd492a16775b--6NYlbfkN0Bz6Vm0KKZgK3IGyqtYIgq3B3aSN1YYDISHIR3HLJ50iQM1f8FF86k3eNG5riA4MSz2Mm_nTByEclbhMbXDir2bUdFwx_x8fYVYj766ChpBf4mya8_IUc8RA6hwLKUWFEWxCnmzwJiY9F8P5nu-W4pt8EuJKQijRya0ULCFuvo7PBdqnhcCg0ru35Uy63HPG0aNfVJRQZQPBzYcRwhIrFvoWT_PfbgmatAiVNrbDOC_Vor09AgmPEkH-QbpdOhq3UB9PIH8cGVR-VnJc4tgC1yDj15rVnkKO8oLHVLED6uvvMehlNX2D8GD_zupFwdqPqkQfAAXuljppzMYhIFizYvevEK6OXbYuWTfGfskPFWrlIDxJ6cvIKLBMeIlSMdqQC7IFZQZhyp0cdWvRTTwxBrITosg12ivhKY5WW4tk34-AcB-8WMjZv4D2JQd0o0Faoklo0xU7cZkio3qf44IgKLUZXE62gavfL1PvJvle_uEysQcr0G5bJHaRsxic27Gg8HVri8ToejRG4ziU3g6i2Zq_SXxut5kwScH0BZ33XT8ztCS-QzugfPfDw2gBAwCc6JULPNxbQS2jCzb4QuYw3ITRlHU01JyA7BD0v4Vr9g18Q%3D%3D,3.2,4.0,4.0,3.5,4.1,"Milano, Italia",Oltre 10.000 dipendenti,2008,Azienda quotata in borsa,Energia e servizi di pubblica utilità,"Energia, estrazione mineraria, servizi di pubblica utilità",$ 5 - $ 10 miliardi (USD)
7,Gruppo Coopselios,Receptionist,Italia,"<span class=""css-2lqh28 e1cjmv6j1"">3<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001862142f158b793370b7a87fcb4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6aaa2d6a&cb=1675595281331&jobListingId=1008165487023&cpc=6A22310A23505C64&jrtk=3-0-1gogk5sbv28uq001-1gogk5scdi174800-80e84bdb4e8ec3d4--6NYlbfkN0BxQOEvJzLbFPY4r7xmFVfGTKei_eIpiF1TYD1OvgvSnFb_iDxKG-elbxREYFoBdUPDrkCu0_9qGL-R1BPMAelr-gE1AFTWqdQQskz6iZSvnOTNZM0k-_JUUuVPr48EVrhyBSCWSK3o4lVoFrtTY90JDyKE_OihK-zHsIQqHdgxIwsnnTErAofYN8ftHlUoi1hB1G8RrW63SzwMZqjb8Sv8RU296iZPrbFSgQbce9sT4eJVWjgwpqxg7jfd7Rxtyh_Vh-mkOEpuogdFUhrYqhcTmvtLPNkIEFROhqt_siFlprc3b2u2v-s4ffCed_8HVpm1lUbuv4Q5rcJ0YSbQnDB4GOW9M9HBqEUyYbWQSBa2UJjqMSPkiz_S7WeF53KEYoylfLgU87-w77hezk7fFedL3mpb6oNhxh2bqAw2g82Pn9vyf8bEFtSqVsDLvZgLlhMVPcAnjpHlElOxZ9RccfqUFeiB24YcRSf27T1rsMjDmvnI43LTa8eqHfR9YSFFz0aRgeTEdMgwN5aVwvwkKDJfxf9F0njWczSHk_pZuYB8CmkfdyJ2Wc24Es3M-PmYvlOF9BMq8wONvgad2mXLHk2HyMSNoVFXVmLoh8LktRx0JsO0r2TE4jFZ5sOwlrij2ZET8uH0acHdGw%3D%3D,2.5,2.6,2.7,2.6,3.7,"Piacenza, Italia",Sconosciuto,,Azienda - Settore privato,,,Sconosciuto/Non applicabile
8,STMicroelectronics,Process Engineer,Agrate Brianza,"<span class=""css-2lqh28 e1cjmv6j1"">3.9<i class=""css-0 e1cjmv6j0""></i></span>",3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001862142f158b793370b7a87fcb4&src=GD_JOB_AD&t=SR&vt=w&cs=1_b1945212&cb=1675595281331&jobListingId=1008444145959&cpc=117F6BB3C9C96699&jrtk=3-0-1gogk5sbv28uq001-1gogk5scdi174800-1c5c5d2063dba958--6NYlbfkN0DAv-knXWXtWP4BSZ5vXP1CKdoDUf5S6mXEs2UdONmIWlVd8a84ouEntKZlEKwwLXNCj8boDgC4SSsKuz0NPic1FsWzlqn4E_MzobqU_XLN66OQItPS8F2I8uezsKCeQ4JdRCPww7H21_DsQfmCV150Mll9RWKgH-0SYWwAJiwVTtXACvEBrA95Md9kW8iPqWTijj_WazsQ3-4xmWVtUo4_XeaZKJ3Neh97kh81g6q7LVmsVEozn8-PwDqMobvNSKQBAGkeSyEA_B4KYhviY--LiIcJ070vn3L58YaKhzjmHhWpsKvkCjuISAcM22D6jMmu8GLUZLghkspiXDfophHX3X9yDhT9sLKc8ZFl9lz5CjfuGk0W6poXnnmjzpNmEhPr2CpQYm2OKE19ppOnDDqcaNrv_vrJ-NKpxw3y3fLe_sfXOfoduA57XrwEqEd9-4_XxITvcSjJUcZ4qGVt6gTGyF270OTI-zaF2m1Le3NLCJD_S_zahzO_hJFV8D30QPStZK1dc5sNo-xaSIJx3ImLpGcfsRBajs8GG6a0Lzp-242Y_VapricWB1iEzWs__qrUuC1m5A6pKq6_4xoUIE0vQldw7ec7u0yrYL7Ct4Nic8F1whdDLwoJn8kdQfCJjSV8_dCvDaZqwgQk-wkDej__bXpR5c37Gxs%3D,3.5,3.4,3.8,3.4,3.9,"Geneva, Svizzera",Oltre 10.000 dipendenti,1987,Azienda quotata in borsa,Produzione elettronica,Manifattura,Più di $ 10 miliardi (USD)
9,Bricocenter Italia,Responsabile,Rozzano,"<span class=""css-2lqh28 e1cjmv6j1"">3.4<i class=""css-0 e1cjmv6j0""></i></span>",Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001862142f158b793370b7a87fcb4&src=GD_JOB_AD&t=SR&vt=w&cs=1_398d2d3a&cb=1675595281331&jobListingId=1008258514848&cpc=3F31A6B851F28AB5&jrtk=3-0-1gogk5sbv28uq001-1gogk5scdi174800-fdf2d68e3197e241--6NYlbfkN0CBffRwqXny1LHmaCe0TtrzXzqusl9qR6OLHfF3XM_YcANnN0udkX4C2ncKNAj0PLobQWJ9ax3HIpSnLahHmPJL8-eYtFdvJaZoC5xJKqGjVJ3qFqz-r-N-_GFGZuOraPOMonyNKo8fXZVDXktHMNU31vQrW6tyrrpiBJIYi5GUiLQDXiICOYSDj7MyrVouYac2UotcwgBx2Xnm0l1BaQq1D5pF_TyaAGeOWJfP4JYQBRv4lC77WU26dcZjjovRdvQsgzTevW7Pe6LgthlBrwPXpyW0Us2V8SQBjaveEe5p-zA3hgBraztfdLn_Bb7WX98BSVlokxiLUcOHPDOnR3ozAj1wpv6sGidWjw0kKIMmNyRoVqFDWfLTYSXvuRyPXqeMx6Ub-Qu_zFaMk8IRvN1bQY21l-mzx82ubLmVD2DfhSdV3mvd0GSdkxQHAZfDmpQRzWMiDKeXZ65PHFlnm2FFnNAGquCW0m-jDnUVYFfLI4CyN92mb3Wgb_qp4Nl5rqM7l6TOgHljDlBBi60vzzZP1bEegqFmH4qky7H7z6MJ1a4fdIlbL3DxlQE06OmODpS3PYJEeI4mpBpnZ4n86K_RJJ0UN0a8TX4%3D,2.7,3.0,3.3,3.1,2.5,"Rozzano, Italia",Da 1.001 a 5.000 dipendenti,1983,A contratto,Negozi di arredamento e articoli per la casa,Vendita al dettaglio e all''ingrosso,$ 100 - $ 500 milioni (USD)
